class_id,class_name,teacher_id,students,batches,schedule
C001,Introduction to Programming,T001,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Monday 9:00-10:30 AM; batch_42: Monday 11:00-12:30 PM
C002,Data Structures and Algorithms,T002,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Tuesday 9:00-10:30 AM; batch_42: Tuesday 11:00-12:30 PM
C003,Database Management System,T003,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Wednesday 9:00-10:30 AM; batch_42: Wednesday 11:00-12:30 PM
C004,Web Development,T004,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Thursday 9:00-10:30 AM; batch_42: Thursday 11:00-12:30 PM
C005,Machine Learning,T005,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Friday 9:00-10:30 AM; batch_42: Friday 11:00-12:30 PM
C006,Maths,T006,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Monday 1:00-2:30 PM; batch_42: Monday 3:00-4:30 PM
C007,Deep Learning,T007,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Tuesday 1:00-2:30 PM; batch_42: Tuesday 3:00-4:30 PM
C008,Data Communication,T008,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Wednesday 1:00-2:30 PM; batch_42: Wednesday 3:00-4:30 PM
C009,Computer Graphics,T009,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Thursday 1:00-2:30 PM; batch_42: Thursday 3:00-4:30 PM
C010,Predictive Analysis,T010,"500110161, 500109606, 500107221, 500110030, 500110165, 500109916, 500110178, 500109495, 500110149, 500101737, 500110011, 500109971, 500109666, 500109505, 500110073, 500110135, 500109887, 500106692, 500109801, 500109802, 500107112, 500108613, 500110139, 500109917, 500110516, 500110005, 500109809, 500109564, 500110211, 500110486, 500110210, 500110068, 500110160, 500106680, 500109330, 500110539, 500110141, 500110142, 500110167, 500109899","batch_41,batch_42",batch_41: Friday 1:00-2:30 PM; batch_42: Friday 3:00-4:30 PM
